First_Term_Gpa,Second_Term_Gpa,First_Language,Funding,FastTrack,Coop,Residency,Gender,Previous_Education,Age_Group,Math_Score,English_Grade,First_Year_Persistence
2.386364,2.8201755787000775,3,4.0,0,1,1,2.0,1,3,32.6760710553814,3,0.0
2.15,2.8201755787000775,3,4.0,0,1,1,2.0,2,3,28.0,9,0.0
0.0,0.0,3,2.0,1,0,0,1.0,1,1,26.0,7,0.0
0.0,0.0,1,2.0,1,1,0,2.0,1,1,37.0,7,0.0
0.0,1.45,1,2.0,1,0,0,2.0,1,2,32.6760710553814,2,1.0
3.857143,3.568182,3,4.0,1,1,1,1.0,2,2,38.0,10,1.0
3.833333,3.464286,3,4.0,0,0,1,2.0,1,3,32.6760710553814,8,1.0
4.0,3.630435,3,4.0,1,1,1,2.0,2,1,45.0,8,1.0
3.227273,3.136364,1,2.0,1,0,0,2.0,1,1,41.0,8,1.0
3.043478,3.166667,3,2.0,1,1,0,2.0,2,2,38.0,9,1.0
3.547619,3.282609,1,2.0,1,1,0,2.0,1,3,12.0,8,1.0
3.078947,2.636364,1,2.0,1,1,0,2.0,1,4,22.0,7,1.0
0.24,0.0,1,2.0,1,1,0,2.0,1,3,17.0,7,0.0
2.722222,2.659091,3,4.0,1,1,1,2.0,2,1,21.0,8,1.0
2.55,2.772727,3,4.0,0,1,1,2.0,1,3,32.6760710553814,7,1.0
3.5,3.416667,3,2.0,1,0,0,1.0,2,5,43.0,4,1.0
3.06,2.538462,3,4.0,0,1,1,1.0,2,3,32.6760710553814,8,1.0
2.525,2.261905,3,4.0,0,1,1,2.0,2,3,32.6760710553814,10,1.0
0.54,2.8201755787000775,1,2.0,1,0,0,2.0,1,1,24.0,7,0.0
3.568182,3.763158,3,2.0,1,1,0,1.0,2,3,38.0,10,0.0
3.272727,1.5,1,2.0,1,1,0,2.0,1,1,32.6760710553814,7,1.0
2.521739,2.7,3,4.0,0,1,1,2.0,1,3,32.6760710553814,10,0.0
4.065217,3.934783,4,5.0,1,1,1,2.0,1,5,49.0,8,1.0
